eht2017,IRAM-30m,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,,,,,,,,,,,,
eht2022,IRAM-30m,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,GLT,NOEMA,KP,,,,,,,,,
ngEHT Reference Array 1.1A,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,GLT,NOEMA,KP,OVRO,BAR,BAJA,HAY,CNI,SGO,CAT,GAM,GARS,NZ
ngEHT Reference Array 1.1B,SMT,SMA,LMT,ALMA,SPT,APEX,JCMT,GLT,NOEMA,KP,PIKE,BAJA,CNI,SGO,CAS,LLA,GAM,NZ,,
